passer_id,passer,team,games_played,completions,attempts,comp_pct,total_air_yds,air_yds_per_pass,avg_cpoe,success,success_rate,ints,tds,totalepa,epa_per_pass,rushing_yards,rushing_tds_rz,passing_yds_rz,pass_attempts_rz,pass_tds_rz,completions_rz,comp_pct_rz,comp_pct_wh,total_air_yds_wh,air_yds_per_pass_wh,avg_cpoe_wh,success_rate_wh,ints_wh,tds_wh,pass_attempts_d1,pass_attempts_d2,pass_attempts_d3,pass_attempts_d4,cmp_pct_d1,cmp_pct_d2,cmp_pct_d3,cmp_pct_d4
00-0023459,A.Rodgers,PIT,16,327,568,57.57,3010,5.299,0.042,247,75.535,7,24,23.898,0.042,68,1,300,90,14,47,52.222,18.966,209,3.603,4.185,13.793,1,3,200,188,167,10,58.5,65.426,49.701,40
00-0026158,J.Flacco,CLE,12,251,461,54.447,3048,6.612,-2.824,196,78.088,10,15,-35.543,-0.077,30,0,169,55,10,24,43.636,22.034,389,6.593,-7.616,16.949,4,1,171,154,122,12,57.895,60.39,44.262,41.667
00-0026498,M.Stafford,LA,17,388,657,59.056,5428,8.262,1.592,354,91.237,8,46,155.382,0.237,22,0,416,123,33,69,56.098,32.468,570,7.403,2.491,22.078,0,2,262,224,153,18,61.45,64.732,46.405,61.111
00-0029604,K.Cousins,ATL,10,166,293,56.655,1869,6.379,-2.799,133,80.12,5,10,3.653,0.012,8,0,143,40,9,18,45,25.581,330,7.674,-10.49,20.93,1,1,107,90,84,10,58.879,62.222,48.81,60
00-0030565,G.Smith,LV,15,302,552,54.71,2763,5.005,0.707,243,80.464,17,19,-51.206,-0.093,109,0,184,77,15,35,45.455,19.388,282,2.878,-4.397,11.224,2,0,201,173,157,19,60.199,55.491,49.045,42.105
00-0032268,M.Mariota,WAS,10,139,281,49.466,2294,8.164,3.197,136,97.842,7,10,12.989,0.046,163,1,94,37,7,14,37.838,17.5,353,8.825,-5.061,17.5,4,2,84,106,73,14,57.143,52.83,35.616,64.286
00-0032950,C.Wentz,MIN,5,110,206,53.398,1288,6.252,1.111,100,90.909,5,6,14.03,0.068,57,0,103,43,6,18,41.86,16.667,192,5.333,4.985,13.889,2,0,81,66,52,6,60.494,63.636,32.692,33.333
00-0033077,D.Prescott,DAL,17,404,704,57.386,4812,6.835,2.165,348,86.139,10,30,135.768,0.193,176,1,339,124,21,57,45.968,29.787,706,7.511,1.976,25.532,2,3,247,240,187,27,58.704,60.417,51.872,62.963
00-0033106,J.Goff,DET,17,393,643,61.12,3717,5.781,1.777,314,79.898,8,34,112.929,0.176,48,0,373,106,25,53,50,26.496,805,6.88,-4.005,20.513,3,1,247,199,171,26,63.158,65.327,54.386,53.846
00-0033119,J.Brissett,ARI,13,315,579,54.404,3697,6.385,1.635,265,84.127,8,23,5.287,0.009,149,0,342,102,19,49,48.039,25.472,589,5.557,7.183,19.811,1,1,228,196,133,19,56.14,58.673,48.872,36.842
00-0033873,P.Mahomes,KC,14,315,626,50.319,4050,6.47,0.336,314,99.683,11,22,112.275,0.179,420,3,361,110,18,46,41.818,22.222,942,9.515,-2.308,20.202,2,2,233,223,150,17,52.361,53.812,40.667,70.588
00-0034796,L.Jackson,BAL,13,192,389,49.357,2648,6.807,1.759,184,95.833,7,21,33.348,0.086,219,1,104,61,11,19,31.148,14.035,220,3.86,-1.17,10.526,1,1,148,115,113,11,53.378,55.652,37.168,63.636
00-0034855,B.Mayfield,TB,17,343,670,51.194,4406,6.576,-2.116,309,90.087,11,26,53.923,0.08,373,1,292,89,16,40,44.944,9.615,113,2.173,-24.404,5.769,0,0,222,229,194,19,58.559,56.769,38.144,47.368
00-0034857,J.Allen,BUF,16,319,582,54.811,3359,5.771,3.515,287,89.969,10,25,110.283,0.189,426,2,281,89,16,42,47.191,18.571,369,5.271,10.34,14.286,2,1,182,222,149,22,55.495,60.36,48.322,54.545
00-0034869,S.Darnold,SEA,17,323,545,59.266,3744,6.87,5.238,291,90.093,14,25,84.855,0.156,89,0,252,83,15,39,46.988,30,455,7.583,11.77,23.333,3,3,225,169,140,8,61.778,62.13,53.571,50
00-0035228,K.Murray,ARI,5,110,207,53.14,941,4.546,-0.529,94,85.455,3,6,24.565,0.119,142,1,83,25,6,13,52,13.043,16,0.696,-1.531,8.696,1,0,71,78,56,2,50.704,60.256,44.643,100
00-0035710,D.Jones,IND,13,261,456,57.237,3074,6.741,2.297,229,87.739,8,19,72.159,0.158,148,1,214,75,16,34,45.333,36.066,381,6.246,9.803,24.59,0,3,196,147,100,7,59.694,57.823,55,57.143
00-0036212,T.Tagovailoa,MIA,14,260,446,58.296,2613,5.859,2.02,197,75.769,15,20,2.303,0.005,44,0,217,67,16,36,53.731,17.778,182,4.044,2.923,11.111,2,1,157,150,123,13,63.694,68,40.65,61.538
00-0036264,J.Love,GB,15,291,513,56.725,3871,7.546,5.533,265,91.065,6,23,146.272,0.285,183,0,310,77,17,39,50.649,23.188,634,9.188,-7.204,20.29,4,0,178,171,145,17,62.36,59.064,48.276,52.941
00-0036355,J.Herbert,LAC,16,340,644,52.795,4011,6.228,1.575,307,90.294,13,26,48.971,0.076,439,1,281,99,20,43,43.434,21.875,599,4.68,-6.501,17.188,3,4,209,244,183,8,50.718,59.426,45.902,62.5
00-0036389,J.Hurts,PHI,16,294,556,52.878,4072,7.324,3.183,249,84.694,6,25,55.139,0.099,266,2,266,67,16,37,55.224,17.647,191,3.745,-6.008,11.765,0,2,187,199,158,10,57.219,53.769,48.734,30
00-0036442,J.Burrow,CIN,8,173,298,58.054,1868,6.268,4.654,147,84.971,5,17,30.918,0.104,26,0,172,45,14,22,48.889,23.913,273,5.935,4.281,15.217,1,1,114,100,76,6,59.649,52,64.474,66.667
00-0036945,J.Fields,NYJ,9,128,272,47.059,1379,5.07,-1.869,116,90.625,1,7,-14.28,-0.053,242,0,102,35,3,12,34.286,18.182,205,3.727,-6.856,7.273,0,3,103,81,74,10,53.398,44.444,45.946,30
00-0036971,T.Lawrence,JAX,17,341,682,50,4876,7.15,-1.882,325,95.308,12,29,70.621,0.104,310,4,385,109,23,51,46.789,25.301,374,4.506,5.482,15.663,2,0,252,248,169,11,51.19,54.435,44.379,18.182
00-0036972,M.Jones,SF,8,201,323,62.229,2124,6.576,3.679,168,83.582,6,13,41.994,0.13,55,0,185,44,12,30,68.182,28.889,291,6.467,-2.028,20,0,1,130,105,79,7,66.154,65.714,53.165,57.143
00-0037834,B.Purdy,SF,9,197,330,59.697,2158,6.539,7.229,179,90.863,10,20,72.177,0.219,131,1,230,70,16,33,47.143,43.243,229,6.189,22.136,27.027,2,2,122,111,88,6,63.115,55.856,62.5,50
00-0039150,B.Young,CAR,16,304,573,53.054,3101,5.412,0.999,258,84.868,11,23,12.356,0.022,220,2,265,87,14,40,45.977,32.468,415,5.39,8.166,23.377,1,2,186,201,155,27,56.452,56.716,45.161,55.556
00-0039163,C.Stroud,HOU,14,273,510,53.529,3405,6.676,0.358,240,87.912,8,19,64.853,0.127,194,0,138,68,12,30,44.118,25.424,339,5.746,4.868,15.254,1,1,165,192,143,7,54.545,55.729,51.049,42.857
00-0039376,S.Rattler,NO,9,174,310,56.129,2030,6.548,2.357,147,84.483,5,8,-18.686,-0.06,114,0,119,33,6,16,48.485,29.412,152,4.471,14.045,26.471,1,0,103,121,76,10,64.078,57.025,47.368,30
00-0039732,B.Nix,DEN,17,388,707,54.88,4487,6.347,-1.196,317,81.701,11,25,75.874,0.107,307,3,398,107,17,53,49.533,27.536,491,7.116,0.881,20.29,2,3,258,226,205,13,58.527,53.982,52.683,53.846
00-0039851,D.Maye,NE,17,354,636,55.66,4493,7.064,10.781,352,99.435,8,31,203.071,0.319,429,3,339,99,20,47,47.475,28.409,567,6.443,14.041,27.273,1,1,228,219,170,18,63.158,53.881,47.059,66.667
00-0039910,J.Daniels,WAS,7,114,263,43.346,1390,5.285,-2.729,125,109.649,3,8,14.672,0.056,246,0,101,28,6,11,39.286,23.077,159,6.115,18.13,23.077,1,1,79,99,73,11,49.367,43.434,38.356,36.364
00-0039917,M.Penix,ATL,9,166,322,51.553,2300,7.143,-3.62,154,92.771,3,9,20.714,0.064,77,1,107,37,8,16,43.243,13.333,185,6.167,-19.522,13.333,0,0,109,120,82,10,55.046,57.5,42.683,20
00-0039918,C.Williams,CHI,17,330,674,48.961,4900,7.27,-3.505,304,92.121,7,27,75.057,0.111,363,2,216,90,14,39,43.333,21.212,414,6.273,-1.901,15.152,0,1,257,214,176,23,54.086,46.262,47.159,39.13
00-0039923,J.McCarthy,MIN,10,140,305,45.902,2142,7.023,-5.724,132,94.286,12,11,-34.113,-0.112,156,2,150,54,10,16,29.63,28.358,398,5.94,2.771,22.388,1,1,107,102,84,8,51.402,50,34.524,62.5
00-0040668,S.Sanders,CLE,8,120,263,45.627,1525,5.798,-5,97,80.833,10,7,-60.848,-0.231,167,1,43,18,3,9,50,19.118,442,6.5,-13.268,11.765,5,0,94,86,77,6,48.936,46.512,44.156,0
00-0040676,C.Ward,TEN,17,323,652,49.54,3907,5.992,-2.93,255,78.947,7,15,-88.138,-0.135,151,0,165,66,12,36,54.545,15.238,414,3.943,-3.55,13.333,1,1,219,221,183,29,54.795,51.584,41.53,44.828
00-0040691,J.Dart,NYG,13,216,443,48.758,2773,6.26,-0.193,204,94.444,5,15,45.653,0.103,290,2,180,61,9,20,32.787,19.444,500,6.944,-5.04,13.889,1,3,168,129,126,18,54.167,47.287,47.619,22.222
00-0040704,D.Gabriel,CLE,10,110,228,48.246,1078,4.728,-7.507,81,73.636,2,7,-27.243,-0.119,89,0,89,38,6,15,39.474,21.212,73,2.212,5.755,12.121,0,0,75,74,72,6,52,54.054,40.278,33.333
00-0040743,T.Shough,NO,11,221,392,56.378,2709,6.911,1.608,174,78.733,6,10,-2.125,-0.005,125,2,113,37,7,13,35.135,17.021,192,4.085,7.436,12.766,0,0,135,144,99,13,56.296,59.028,56.566,30.769
